Concept	correlation	log(BNC_freq)	num_feats_tax	familiarity	tot_num_feats	polysemy	a_bird	a_fish	a_fruit	a_musical_instrument	a_tool	a_vegetable	an_animal
menu	0.0860316015293	7.62364194651	8	8.05	104	4	0	0	0	0	0	0	0
envelope	0.0872452127822	7.52833176671	11	7.90	105	6	0	0	0	0	0	0	0
doorknob	0.0910974344282	3.68887945411	9	8.85	97	1	0	0	0	0	0	0	0
bedroom	0.0923538948415	8.69399956752	10	8.95	120	1	0	0	0	0	0	0	0
whistle	0.0925638697749	6.83518458615	14	6.40	145	11	0	0	0	0	0	0	0
pen	0.0926737173284	7.89766815073	15	8.95	143	6	0	0	0	0	0	0	0
stork	0.0928171782571	4.85981240436	14	2.50	215	1	1	0	0	0	0	0	0
rattle	0.0989455398181	6.08904487545	9	5.00	107	5	0	0	0	0	0	0	0
rope	0.0992699777653	7.68017564044	12	6.90	102	4	0	0	0	0	0	0	0
tack	0.100425705556	6.36302810354	13	6.40	123	12	0	0	0	0	0	0	0
pencil	0.101368601308	7.28000825288	16	8.60	196	5	0	0	0	0	0	0	0
rock	0.101394154419	9.18019039503	12	7.85	98	9	0	0	0	0	0	0	0
shack	0.102008063887	5.13579843705	12	3.55	117	3	0	0	0	0	0	0	0
anchor	0.102179183434	6.55108033504	14	3.85	136	5	0	0	0	0	0	0	0
brick	0.103502688257	7.94873845481	9	7.40	106	2	0	0	0	0	0	0	0
banner	0.106298403742	6.80239476332	13	6.10	94	4	0	0	0	0	0	0	0
eel	0.10634720311	5.87211778948	11	2.55	125	2	0	1	0	0	0	0	0
goose	0.107550631898	6.79009723551	15	4.90	168	6	0	0	0	0	0	0	1
marble	0.109708185551	7.36201055126	14	6.20	161	4	0	0	0	0	0	0	0
cork	0.109757389489	6.89264164117	7	5.70	60	7	0	0	0	0	0	0	0
balloon	0.110270231243	6.94312242282	18	7.05	166	4	0	0	0	0	0	0	0
crayon	0.113670596402	5.1059454739	13	7.60	168	2	0	0	0	0	0	0	0
pearl	0.113924941702	6.97541392746	15	5.10	138	4	0	0	0	0	0	0	0
nightingale	0.114363020523	5.50125821054	6	1.80	82	2	1	0	0	0	0	0	0
cape	0.1150089742	6.9517721644	12	4.05	95	2	0	0	0	0	0	0	0
rocket	0.117482874637	6.79346613258	12	2.25	89	7	0	0	0	0	0	0	0
pyramid	0.118161509138	6.54102999919	14	2.70	133	7	0	0	0	0	0	0	0
swan	0.119609860218	7.26612877956	16	4.20	193	4	1	0	0	0	0	0	0
buckle	0.12090905744	5.8636311756	8	7.65	80	5	0	0	0	0	0	0	0
veil	0.121045840075	6.42486902391	10	3.70	111	6	0	0	0	0	0	0	0
bathtub	0.122190768536	3.49650756147	16	8.05	121	1	0	0	0	0	0	0	0
bomb	0.122323537025	8.3572591535	15	3.05	146	5	0	0	0	0	0	0	0
toilet	0.122769421919	7.6357868614	8	8.55	88	4	0	0	0	0	0	0	0
bayonet	0.12357674944	5.08140436498	7	1.75	41	2	0	0	0	0	0	0	0
toy	0.124106158671	7.66902828859	8	7.70	84	8	0	0	0	0	0	0	0
stone	0.126614809476	9.3524473886	11	7.40	103	16	0	0	0	0	0	0	0
apartment	0.12669458565	7.5745584842	18	7.80	175	1	0	0	0	0	0	0	0
python	0.127562249214	5.12989871492	15	2.20	143	3	0	0	0	0	0	0	1
coin	0.128247767743	7.88042634429	11	8.85	109	3	0	0	0	0	0	0	0
doll	0.128790019825	7.06219163229	12	7.75	126	2	0	0	0	0	0	0	0
cigar	0.129313001064	6.55677835616	11	4.60	126	1	0	0	0	0	0	0	0
box	0.130680421985	9.36331893657	14	7.80	145	13	0	0	0	0	0	0	0
microscope	0.130727031042	6.52209279817	13	5.70	107	1	0	0	0	0	0	0	0
dandelion	0.131308249353	5.24174701506	13	6.40	147	1	0	0	0	0	0	0	0
ant	0.131900812667	6.91968384985	12	7.55	121	1	0	0	0	0	0	0	0
bucket	0.134933141826	7.24708058459	7	6.55	93	4	0	0	0	0	0	0	0
baton	0.135597716518	5.62040086572	10	3.20	93	5	0	0	0	0	0	0	0
urn	0.136545465291	5.42053499927	7	2.60	65	2	0	0	0	0	0	0	0
slingshot	0.137048540677	2.3978952728	15	4.15	173	1	0	0	0	0	0	0	0
flea	0.137489859214	5.80211837538	17	4.35	167	1	0	0	0	0	0	0	0
airplane	0.137678305479	4.68213122712	13	6.55	140	1	0	0	0	0	0	0	0
bungalow	0.139529220837	6.62539236801	9	4.30	102	1	0	0	0	0	0	0	0
ball	0.140393140711	9.11679862757	9	8.35	87	13	0	0	0	0	0	0	0
ashtray	0.140785418567	5.78074351579	11	5.60	108	1	0	0	0	0	0	0	0
limousine	0.142460465017	5.42934562895	19	4.10	212	1	0	0	0	0	0	0	0
shed	0.143456829869	7.84737183616	12	7.05	135	6	0	0	0	0	0	0	0
helmet	0.146318000976	6.87626461189	12	6.20	117	2	0	0	0	0	0	0	0
penguin	0.146543915283	6.39692965522	18	2.80	236	1	0	0	0	0	0	0	1
armour	0.148215047262	6.79905586206	11	2.45	132	4	0	0	0	0	0	0	0
birch	0.148464629687	6.15060276845	10	5.50	102	5	0	0	0	0	0	0	0
certificate	0.149204500414	8.22362717581	12	6.95	119	4	0	0	0	0	0	0	0
hook	0.149266109815	7.55590509361	9	6.65	112	20	0	0	0	0	0	0	0
catapult	0.14936423404	5.24174701506	9	2.15	86	5	0	0	0	0	0	0	0
raven	0.150954377727	5.73009978297	13	3.20	168	5	0	0	0	0	0	0	1
typewriter	0.151000829253	6.38856140555	16	5.30	163	1	0	0	0	0	0	0	0
napkin	0.15219406525	5.75890177388	14	8.25	130	2	0	0	0	0	0	0	0
radio	0.153309383882	9.13140538389	17	8.70	175	5	0	0	0	0	0	0	0
door	0.153364395511	10.3147359054	13	8.95	152	5	0	0	0	0	0	0	0
grenade	0.153446494066	5.92157841964	15	2.20	180	1	0	0	0	0	0	0	0
basket	0.153622422224	7.51207124584	9	6.90	96	4	0	0	0	0	0	0	0
thimble	0.154801162541	3.7135720667	11	3.85	136	2	0	0	0	0	0	0	0
mug	0.162032710398	6.98286275147	14	8.60	138	5	0	0	0	0	0	0	0
projector	0.162191388382	5.50938833663	6	6.60	50	2	0	0	0	0	0	0	0
butterfly	0.162903516382	7.04838640872	15	6.15	165	5	0	0	0	0	0	0	0
cabin	0.163578028587	7.16162200294	10	5.10	105	4	0	0	0	0	0	0	0
tripod	0.164555026371	5.14749447681	6	3.45	77	1	0	0	0	0	0	0	0
spade	0.165293594234	6.17586727011	7	4.95	66	4	0	0	0	0	1	0	0
barrel	0.166591511876	7.27100853828	11	5.05	107	6	0	0	0	0	0	0	0
emerald	0.172051249399	5.84354441703	12	4.05	143	3	0	0	0	0	0	0	0
subway	0.173540378654	5.11799381242	14	5.90	140	2	0	0	0	0	0	0	0
football	0.174096006079	8.81507308884	15	6.10	144	2	0	0	0	0	0	0	0
gate	0.174702406245	8.66957087184	14	7.10	145	7	0	0	0	0	0	0	0
shell	0.175833603107	8.08209327818	8	6.20	70	18	0	0	0	0	0	0	0
tent	0.176003595936	7.35500192111	11	6.85	92	3	0	0	0	0	0	0	0
book	0.176038794338	10.5448149844	16	8.80	148	15	0	0	0	0	0	0	0
bottle	0.177103749056	8.699848026	15	8.35	186	5	0	0	0	0	0	0	0
cottage	0.178106107382	8.30251371851	13	6.35	106	1	0	0	0	0	0	0	0
umbrella	0.178940898926	6.89467003943	11	7.35	102	4	0	0	0	0	0	0	0
eagle	0.179171974988	7.49164547361	17	3.60	191	6	1	0	0	0	0	0	0
crown	0.182218851487	8.61104776689	14	2.95	165	16	0	0	0	0	0	0	0
submarine	0.183235488094	6.64248680137	13	3.05	102	8	0	0	0	0	0	0	0
magazine	0.183310590347	8.76686182167	14	8.15	131	6	0	0	0	0	0	0	0
saddle	0.18387978529	6.74288063579	9	3.75	116	9	0	0	0	0	0	0	0
pigeon	0.184290669276	6.78445706264	14	5.80	161	1	0	0	0	0	0	0	1
peg	0.185898112604	6.89770494313	7	5.30	68	10	0	0	0	0	0	0	0
skyscraper	0.188072539937	4.85981240436	12	6.45	139	1	0	0	0	0	0	0	0
clock	0.188446730998	8.13270648969	14	8.60	159	2	0	0	0	0	0	0	0
bag	0.188777852702	8.92744681626	12	8.55	113	14	0	0	0	0	0	0	0
escalator	0.19176491124	4.94875989038	11	7.35	119	2	0	0	0	0	0	0	0
chain	0.192645238287	8.5201887004	11	7.05	100	12	0	0	0	0	0	0	0
pier	0.194018147269	7.02908756415	11	5.25	89	3	0	0	0	0	0	0	0
comb	0.195713294506	6.29894924686	12	7.90	122	8	0	0	0	0	0	0	0
skillet	0.196573652548	2.7080502011	11	4.95	129	1	0	0	0	0	0	0	0
duck	0.197172375301	7.64683139143	20	5.20	220	8	0	0	0	0	0	0	1
cigarette	0.198025845834	8.19257047115	13	5.20	114	1	0	0	0	0	0	0	0
ox	0.198311624652	5.81711115996	11	2.30	123	2	0	0	0	0	0	0	1
partridge	0.198591430082	5.51745289646	10	2.55	134	5	0	0	0	0	0	0	1
sack	0.199173111278	7.29165620917	8	5.70	70	13	0	0	0	0	0	0	0
parakeet	0.199244852102	3.68887945411	16	2.95	189	1	1	0	0	0	0	0	0
ruler	0.200262400643	7.36518012602	18	7.75	192	2	0	0	0	0	0	0	0
medal	0.200531145445	7.40427911804	14	5.90	127	1	0	0	0	0	0	0	0
caterpillar	0.203724849258	5.92692602597	14	5.35	151	2	0	0	0	0	0	0	0
cup	0.204590060768	9.5159851448	21	8.20	199	11	0	0	0	0	0	0	0
corkscrew	0.20492667343	4.64439089914	10	5.60	88	2	0	0	0	0	0	0	0
perch	0.207336809329	5.71042701737	15	4.00	161	10	0	0	0	0	0	0	1
emu	0.207682217868	5.68017260902	12	3.10	102	2	0	0	0	0	0	0	1
seal	0.208538475251	7.61332497954	17	2.90	148	15	0	0	0	0	0	0	1
carpet	0.209294546395	8.13035354743	17	8.75	143	5	0	0	0	0	0	0	0
rattlesnake	0.209465349152	4.02535169074	19	2.70	172	1	0	0	0	0	0	0	1
bureau	0.210687952752	7.31188616408	12	5.50	142	2	0	0	0	0	0	0	0
housefly	0.211942933103	1.79175946923	15	6.85	165	1	0	0	0	0	0	0	0
fox	0.213035746252	7.9160780963	17	4.70	166	10	0	0	0	0	0	0	1
razor	0.213685754175	6.18001665365	8	7.85	119	2	0	0	0	0	0	0	0
wheelbarrow	0.213851566103	5.52545293913	14	5.40	168	2	0	0	0	0	0	0	0
house	0.214486693439	11.018727499	16	8.45	133	14	0	0	0	0	0	0	0
skis	0.216547054537	7.01660968389	13	5.00	106	2	0	0	0	0	0	0	0
mirror	0.216718648643	8.42046200246	11	8.40	106	4	0	0	0	0	0	0	0
bowl	0.216902076225	8.05990833458	14	8.50	123	12	0	0	0	0	0	0	0
owl	0.2171764948	7.40731771047	13	4.10	164	1	0	0	0	0	0	0	1
earmuffs	0.217369151252	1.38629436112	13	5.25	122	1	0	0	0	0	0	0	0
mouse	0.219258022368	7.97659540932	19	4.95	175	6	0	0	0	0	0	0	1
bluejay	0.221843811974	1.09861228867	12	5.10	149	0	0	0	0	0	0	0	1
colander	0.223371130077	3.98898404656	6	2.35	64	1	0	0	0	0	0	0	0
crow	0.224775793668	6.27852142417	13	5.00	131	9	1	0	0	0	0	0	0
sled	0.224903813349	3.52636052462	12	6.35	126	2	0	0	0	0	0	0	0
ambulance	0.226505381633	7.52077641506	19	6.45	189	1	0	0	0	0	0	0	0
ostrich	0.226847165612	5.1239639794	19	2.55	254	2	1	0	0	0	0	0	0
cloak	0.22744527969	6.77193555584	8	3.30	63	5	0	0	0	0	0	0	0
spear	0.228491057597	6.37502481983	15	3.10	157	4	0	0	0	0	0	0	0
bullet	0.229794543826	7.14677217945	14	3.65	157	3	0	0	0	0	0	0	0
cathedral	0.230744671327	7.90948949267	13	4.70	118	3	0	0	0	0	0	0	0
van	0.230773942292	8.44569718971	15	8.00	145	5	0	0	0	0	0	0	0
rooster	0.234180096985	3.49650756147	18	3.75	196	1	0	0	0	0	0	0	1
spoon	0.234430632242	6.92067150425	19	8.65	194	5	0	0	0	0	0	0	0
trailer	0.234865584769	6.48157712928	12	6.15	100	4	0	0	0	0	0	0	0
brush	0.235005430143	7.80302664363	12	8.70	100	15	0	0	0	0	0	0	0
sailboat	0.23515939978	3.04452243772	14	4.95	146	1	0	0	0	0	0	0	0
flamingo	0.238701490746	4.92725368516	11	2.70	116	1	0	0	0	0	0	0	1
fence	0.240157168389	7.73587031995	11	8.15	76	7	0	0	0	0	0	0	0
bazooka	0.240343791116	3.13549421593	11	2.05	94	1	0	0	0	0	0	0	0
church	0.241220482504	10.0882228606	15	6.10	131	5	0	0	0	0	0	0	0
bench	0.241948159835	7.86518795419	11	7.60	132	9	0	0	0	0	0	0	0
wall	0.242881652649	9.8095614145	14	8.90	103	9	0	0	0	0	0	0	0
falcon	0.244608974361	6.0112671744	14	2.85	171	2	0	0	0	0	0	0	1
plate	0.245235031723	8.77074954914	20	8.90	159	16	0	0	0	0	0	0	0
bolts	0.248076747285	7.18765716411	13	4.90	115	14	0	0	0	0	0	0	0
grater	0.249312876761	3.40119738166	12	5.05	125	1	0	0	0	0	0	0	0
mixer	0.249403621136	5.64897423816	9	5.90	96	4	0	0	0	0	0	0	0
closet	0.250230482149	5.56068163102	13	8.70	163	5	0	0	0	0	0	0	0
hatchet	0.25067198532	4.31748811354	8	2.60	72	2	0	0	0	0	1	0	0
axe	0.250713963834	7.1115121165	16	4.60	214	3	0	0	0	0	1	0	0
paintbrush	0.252590018026	4.29045944115	6	6.85	73	1	0	0	0	0	0	0	0
catfish	0.254351326911	5.44673737167	10	3.35	120	3	0	1	0	0	0	0	0
hawk	0.254632461052	6.34913899138	13	3.50	173	6	1	0	0	0	0	0	0
desk	0.255747061339	8.49146504284	16	8.65	174	1	0	0	0	0	0	0	0
tomahawk	0.255902171818	3.78418963392	14	2.10	130	3	0	0	0	0	1	0	0
racquet	0.256172787182	4.34380542185	13	5.75	146	1	0	0	0	0	0	0	0
chandelier	0.257553370136	5.37989735354	15	6.50	149	1	0	0	0	0	0	0	0
ship	0.257875209591	8.92332474407	13	4.90	149	6	0	0	0	0	0	0	0
jar	0.264023551261	6.96413561242	12	6.95	145	8	0	0	0	0	0	0	0
crossbow	0.265093027428	4.72738781871	8	3.35	98	1	0	0	0	0	0	0	0
mandarin	0.265152461941	5.79605775077	15	3.70	134	6	0	0	1	0	0	0	0
sardine	0.265849102637	5.28826703069	11	3.15	147	4	0	1	0	0	0	0	0
table	0.267782429002	10.0500092052	11	8.95	130	8	0	0	0	0	0	0	0
bed	0.268025175504	9.80460600298	17	8.95	166	13	0	0	0	0	0	0	0
goldfish	0.269638871923	5.89989735358	14	6.40	163	1	0	0	0	0	0	0	1
cedar	0.270143517142	5.46383180503	15	5.50	116	3	0	0	0	0	0	0	0
buffalo	0.271656153896	5.9026333334	15	3.50	154	5	0	0	0	0	0	0	1
willow	0.272181367682	6.26149168432	10	3.50	86	2	0	0	0	0	0	0	0
curtains	0.272422048729	8.13505390861	13	8.40	152	3	0	0	0	0	0	0	0
mink	0.27344224783	5.60947179518	15	2.35	140	3	0	0	0	0	0	0	1
lamp	0.274169158068	7.67322312112	14	8.55	144	2	0	0	0	0	0	0	0
kettle	0.275271261642	6.89669433162	17	7.80	175	4	0	0	0	0	0	0	0
seagull	0.276760072229	5.24174701506	15	6.70	191	1	1	0	0	0	0	0	0
shovel	0.276911476334	5.63478960317	15	6.45	162	5	0	0	0	0	1	0	0
harpoon	0.277784313402	3.85014760171	11	2.10	93	2	0	0	0	0	0	0	0
minnow	0.27987364782	4.67282883446	13	3.55	142	1	0	0	0	0	0	0	1
pine	0.280256132053	7.11558212618	11	4.85	134	3	0	0	0	0	0	0	0
helicopter	0.280531843883	7.34987370474	10	4.05	84	1	0	0	0	0	0	0	0
raft	0.280734687987	6.00141487796	14	4.70	128	5	0	0	0	0	0	0	0
ladle	0.282490758828	4.43081679884	11	4.95	114	3	0	0	0	0	0	0	0
shield	0.282721984101	7.70706265537	10	2.85	90	5	0	0	0	0	0	0	0
snail	0.282761770502	6.29710931993	9	5.40	118	3	0	0	0	0	0	0	0
broom	0.283293987253	5.96870755999	13	7.65	153	5	0	0	0	0	0	0	0
buzzard	0.286443073743	5.46383180503	14	2.20	141	2	1	0	0	0	0	0	0
boat	0.286880702468	8.90801832278	10	6.55	113	3	0	0	0	0	0	0	0
pillow	0.28705677325	7.03262426103	13	8.80	188	2	0	0	0	0	0	0	0
sparrow	0.287276675509	5.68357976734	13	4.35	179	2	0	0	0	0	0	0	1
walnut	0.287429686541	6.133398043	11	5.75	129	3	0	0	0	0	0	0	0
unicycle	0.287491383414	2.63905732962	9	2.75	113	2	0	0	0	0	0	0	0
bra	0.289330969412	6.20050917404	20	7.45	198	1	0	0	0	0	0	0	0
cushion	0.28966420891	6.91174730025	16	7.90	156	4	0	0	0	0	0	0	0
bracelet	0.29034669705	5.72031177661	14	8.20	153	2	0	0	0	0	0	0	0
finch	0.290783638636	5.86929691313	10	3.25	121	1	1	0	0	0	0	0	0
beetle	0.293405404529	6.32076829425	13	4.20	113	6	0	0	0	0	0	0	0
apron	0.293445340155	6.35088571671	13	4.75	117	4	0	0	0	0	0	0	0
jet	0.295336442045	7.51207124584	15	4.50	176	9	0	0	0	0	0	0	0
barn	0.295653016151	7.37775890823	17	5.60	218	2	0	0	0	0	0	0	0
salamander	0.295666517935	4.36944785247	13	2.45	93	3	0	0	0	0	0	0	1
bull	0.296191466855	7.68386398026	12	3.60	133	15	0	0	0	0	0	0	1
sledgehammer	0.296853448857	4.20469261939	11	3.80	134	2	0	0	0	0	1	0	0
blackbird	0.298369459762	5.70378247466	12	3.75	173	2	0	0	0	0	0	0	1
tray	0.299351272491	7.50988306115	12	6.75	112	1	0	0	0	0	0	0	0
woodpecker	0.301827894688	4.98360662171	15	4.10	169	1	0	0	0	0	0	0	1
stereo	0.303444742192	6.41017488197	15	8.95	142	3	0	0	0	0	0	0	0
gun	0.303926746564	8.61341204916	16	3.50	162	8	0	0	0	0	0	0	0
oriole	0.305403249802	2.77258872224	9	2.40	95	2	1	0	0	0	0	0	0
rice	0.306723551681	7.4442486495	10	7.50	114	5	0	0	0	0	0	0	0
chapel	0.306835576957	7.80098207126	11	5.25	98	2	0	0	0	0	0	0	0
crowbar	0.307211226394	4.11087386417	12	4.00	113	1	0	0	0	0	1	0	0
fork	0.307326590947	6.96129604591	14	8.70	162	9	0	0	0	0	0	0	0
chickadee	0.30987930129	1.38629436112	15	3.80	159	1	0	0	0	0	0	0	1
hammer	0.310235602376	7.21081845347	16	6.30	205	10	0	0	0	0	1	0	0
drapes	0.310531976405	4.8283137373	18	7.70	197	7	0	0	0	0	0	0	0
taxi	0.310931835118	7.69393732551	10	7.35	125	3	0	0	0	0	0	0	0
pistol	0.311206016584	6.85751406255	19	3.00	210	1	0	0	0	0	0	0	0
drain	0.311320813066	7.39018142823	9	7.70	107	8	0	0	0	0	0	0	0
parka	0.311627648508	3.80666248977	10	4.60	76	1	0	0	0	0	0	0	0
cockroach	0.312552346814	4.99043258678	14	3.60	90	1	0	0	0	0	0	0	0
guppy	0.312588921816	4.82028156561	6	2.00	64	1	0	1	0	0	0	0	0
leopard	0.312661181611	5.81413053183	9	3.35	85	2	0	0	0	0	0	0	1
hare	0.31361639465	6.51323011091	18	3.25	184	3	0	0	0	0	0	0	1
toaster	0.314889557572	4.5747109785	14	7.80	194	2	0	0	0	0	0	0	0
pelican	0.31494578844	4.97673374242	15	2.85	189	1	0	0	0	0	0	0	1
dish	0.315330204523	8.0205991499	10	8.80	92	8	0	0	0	0	0	0	0
skunk	0.316200779055	4.04305126783	12	5.50	179	5	0	0	0	0	0	0	1
rake	0.316253572277	5.86646805693	15	5.80	148	9	0	0	0	0	1	0	0
train	0.316813140191	9.24802143894	15	6.05	133	17	0	0	0	0	0	0	0
groundhog	0.31726033296	1.60943791243	14	3.85	133	1	0	0	0	0	0	0	1
cake	0.317623880884	8.24038511552	17	7.40	157	4	0	0	0	0	0	0	0
budgie	0.317678421034	4.96284463026	17	4.40	188	1	1	0	0	0	0	0	0
caribou	0.318045670859	4.04305126783	18	3.60	179	1	0	0	0	0	0	0	1
machete	0.319935194294	4.14313472639	8	2.00	65	1	0	0	0	0	0	0	0
peacock	0.320043979777	6.35957386867	16	3.85	164	2	0	0	0	0	0	0	1
sleigh	0.320091641391	3.80666248977	9	5.35	101	2	0	0	0	0	0	0	0
vulture	0.320653614021	5.67332326717	18	2.40	190	2	0	0	0	0	0	0	1
mackerel	0.32194262449	5.01727983681	9	3.85	89	2	0	1	0	0	0	0	0
belt	0.324829176164	7.89915348334	13	7.95	161	10	0	0	0	0	0	0	0
chair	0.324879243095	9.21263773102	16	8.70	182	7	0	0	0	0	0	0	0
knife	0.326979043052	8.12088602109	17	8.00	177	4	0	0	0	0	0	0	0
pheasant	0.327080515291	5.78689738137	9	3.15	104	2	0	0	0	0	0	0	1
screws	0.328449561417	7.11314210871	19	6.55	180	10	0	0	0	0	0	0	0
sword	0.328802556724	7.54274354537	16	2.95	144	1	0	0	0	0	0	0	0
cannon	0.329798145324	6.66568371778	17	2.95	183	8	0	0	0	0	0	0	0
tongs	0.329824547236	5.19295685089	8	6.15	80	1	0	0	0	0	0	0	0
scissors	0.332171515776	6.09130988208	10	7.55	119	4	0	0	0	0	1	0	0
dagger	0.33302222514	6.070737728	14	3.00	150	2	0	0	0	0	0	0	0
freezer	0.333068748381	6.26720054854	19	8.35	209	1	0	0	0	0	0	0	0
revolver	0.333070128265	5.56834450376	15	3.05	148	2	0	0	0	0	0	0	0
drill	0.334650813753	7.22475340577	11	6.00	134	9	0	0	0	0	1	0	0
camisole	0.334686061622	3.43398720449	18	4.20	140	2	0	0	0	0	0	0	0
gorilla	0.337270949818	5.34233425196	16	2.65	170	1	0	0	0	0	0	0	1
jeep	0.337437827563	6.3561076607	14	6.90	122	1	0	0	0	0	0	0	0
pumpkin	0.337797385106	5.17048399504	12	6.95	181	2	0	0	0	0	0	1	0
dresser	0.338295884217	5.81413053183	11	8.35	206	5	0	0	0	0	0	0	0
sink	0.338311880085	7.69165682281	17	8.50	202	13	0	0	0	0	0	0	0
moth	0.340349024989	6.29156913956	8	5.65	94	1	0	0	0	0	0	0	0
blender	0.344200264583	4.51085950652	15	5.80	153	1	0	0	0	0	0	0	0
apple	0.344714811554	8.16394095476	19	8.30	202	2	0	0	1	0	0	0	0
building	0.347984282205	10.153896015	15	8.35	118	14	0	0	0	0	0	0	0
bread	0.348478660974	8.24617155986	16	8.55	167	3	0	0	0	0	0	0	0
necklace	0.34958841348	6.00141487796	17	8.00	165	1	0	0	0	0	0	0	0
tricycle	0.35014843446	4.04305126783	17	6.20	206	1	0	0	0	0	0	0	0
oven	0.350548038031	7.35564110297	14	7.50	145	1	0	0	0	0	0	0	0
chisel	0.350899531384	5.45103845357	10	3.85	102	4	0	0	0	0	1	0	0
hornet	0.352673742481	4.56434819147	12	5.30	129	1	0	0	0	0	0	0	0
canoe	0.353123866712	6.27476202124	18	6.10	174	2	0	0	0	0	0	0	0
cantaloupe	0.354333627706	1.38629436112	14	6.30	169	2	0	0	1	0	0	0	0
starling	0.355164839777	5.20948615284	12	2.75	116	1	1	0	0	0	0	0	0
frog	0.35572758831	6.86693328446	16	5.45	172	4	0	0	0	0	0	0	1
wagon	0.355748410044	6.84268328224	14	5.60	192	5	0	0	0	0	0	0	0
scooter	0.356104029834	4.70953020131	13	2.60	118	5	0	0	0	0	0	0	0
buggy	0.35682936683	5.44241771052	12	4.00	118	3	0	0	0	0	0	0	0
nylons	0.35705101364	6.59850902861	18	6.20	136	3	0	0	0	0	0	0	0
basement	0.357360401907	6.77078942391	16	7.60	155	2	0	0	0	0	0	0	0
pie	0.357361210891	7.38398945798	13	7.35	131	2	0	0	0	0	0	0	0
oak	0.358024067137	7.57558465156	11	6.10	126	2	0	0	0	0	0	0	0
garage	0.358852653553	7.77779262634	9	7.85	113	3	0	0	0	0	0	0	0
pony	0.360087368243	7.01571242049	18	4.70	156	5	0	0	0	0	0	0	1
spider	0.361440592132	6.94312242282	16	7.25	178	3	0	0	0	0	0	0	0
guitar	0.363010692832	8.13827263853	11	6.15	130	1	0	0	0	1	0	0	0
orange	0.36339653325	8.0330094986	16	8.20	190	6	0	0	1	0	0	0	0
