Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats
screws	0.328449561417	1228	19	6.55	180
sword	0.328802556724	1887	16	2.95	144
cannon	0.329798145324	785	17	2.95	183
tongs	0.329824547236	180	8	6.15	80
scissors	0.332171515776	442	10	7.55	119
dagger	0.33302222514	433	14	3.00	150
freezer	0.333068748381	527	19	8.35	209
revolver	0.333070128265	262	15	3.05	148
drill	0.334650813753	1373	11	6.00	134
camisole	0.334686061622	31	18	4.20	140
gorilla	0.337270949818	209	16	2.65	170
jeep	0.337437827563	576	14	6.90	122
pumpkin	0.337797385106	176	12	6.95	181
dresser	0.338295884217	335	11	8.35	206
sink	0.338311880085	2190	17	8.50	202
moth	0.340349024989	540	8	5.65	94
blender	0.344200264583	91	15	5.80	153
apple	0.344714811554	3512	19	8.30	202
building	0.347984282205	25691	15	8.35	118
bread	0.348478660974	3813	16	8.55	167
necklace	0.34958841348	404	17	8.00	165
tricycle	0.35014843446	57	17	6.20	206
oven	0.350548038031	1565	14	7.50	145
chisel	0.350899531384	233	10	3.85	102
hornet	0.352673742481	96	12	5.30	129
canoe	0.353123866712	531	18	6.10	174
cantaloupe	0.354333627706	4	14	6.30	169
starling	0.355164839777	183	12	2.75	116
frog	0.35572758831	960	16	5.45	172
wagon	0.355748410044	937	14	5.60	192
scooter	0.356104029834	111	13	2.60	118
buggy	0.35682936683	231	12	4.00	118
nylons	0.35705101364	734	18	6.20	136
basement	0.357360401907	872	16	7.60	155
pie	0.357361210891	1610	13	7.35	131
oak	0.358024067137	1950	11	6.10	126
garage	0.358852653553	2387	9	7.85	113
pony	0.360087368243	1114	18	4.70	156
spider	0.361440592132	1036	16	7.25	178
guitar	0.363010692832	3423	11	6.15	130
orange	0.36339653325	3081	16	8.20	190
microwave	0.364386948206	707	16	7.95	132
sandals	0.365702121256	323	17	7.45	160
clam	0.367529367934	132	8	4.20	102
strainer	0.371152350489	40	13	6.70	115
car	0.37160107304	35374	16	8.60	176
yacht	0.371603412664	1426	14	3.85	144
porcupine	0.372292161035	72	10	3.20	105
tuna	0.373882580694	357	14	5.65	136
cherry	0.373909058691	1096	12	6.90	184
screwdriver	0.374023915609	272	20	6.35	203
truck	0.374843458967	1867	13	7.65	146
elevator	0.375359089769	279	14	8.10	148
zebra	0.375981934196	276	16	2.60	207
couch	0.378276151874	574	20	8.05	196
dog	0.379952422328	12536	18	8.15	176
cellar	0.381280294804	945	10	4.70	129
bear	0.38203302521	7158	19	4.55	195
stove	0.382861536356	782	13	8.35	162
calf	0.382927356377	1083	14	4.35	147
piano	0.383971302048	2112	13	5.95	155
missile	0.384597537507	1902	17	2.60	133
spatula	0.3857231912	46	12	7.00	131
faucet	0.385939632185	11	18	8.10	193
trolley	0.386614113877	730	8	3.70	59
biscuit	0.387076986141	1623	11	7.40	87
drum	0.388225513819	1650	13	5.20	123
skateboard	0.389665380429	80	10	4.85	115
olive	0.389983794083	1174	17	5.70	180
nightgown	0.390809260467	88	11	6.20	109
hamster	0.390861652798	159	14	6.10	167
carrot	0.392008984741	872	18	7.60	203
pliers	0.392181508581	72	12	4.90	109
cat	0.393740899066	5540	20	7.65	191
salmon	0.394602356492	1435	10	4.75	127
prune	0.395318088281	205	18	5.15	154
trout	0.39620493215	725	14	5.05	184
sofa	0.397111460565	1168	18	8.40	181
bike	0.397837690604	2267	20	7.70	198
harpsichord	0.398052627249	155	6	2.40	70
fawn	0.399117533938	145	26	3.80	216
cart	0.399714764252	1272	11	5.70	136
gopher	0.400573900866	13	8	2.60	96
bookcase	0.401487949719	233	12	8.15	136
radish	0.401494321303	213	16	4.95	182
shotgun	0.402673928891	487	10	3.00	105
bagpipe	0.403251551033	122	9	3.20	122
rat	0.405983328691	2467	22	3.65	217
fridge	0.406844794837	1052	19	8.80	224
wasp	0.411404754342	617	16	5.20	161
shoes	0.415162440955	4822	19	8.90	169
gown	0.417937954993	1031	12	6.15	103
motorcycle	0.418926510061	367	16	4.90	170
panther	0.420123953431	184	13	2.60	135
leotards	0.420431218197	83	12	6.05	103
cheetah	0.420515957065	152	13	3.40	152
elk	0.423298757027	40	16	2.65	131
clamp	0.423416805976	378	10	4.10	100
squid	0.424394660555	174	11	3.45	99
grasshopper	0.424523040709	104	13	4.95	159
tractor	0.426370646737	730	13	6.00	146
tie	0.427879123463	4506	14	6.90	158
robe	0.428876688724	758	16	7.40	131
mittens	0.428880233405	33	15	6.45	162
raisin	0.429368001531	173	14	6.55	172
lobster	0.433158625353	334	17	5.85	169
bus	0.434762243827	6932	17	8.35	179
iguana	0.435783419354	44	17	3.15	174
rabbit	0.437539054257	2486	14	6.05	116
pajamas	0.438722836079	3	11	8.50	126
plum	0.441128427811	425	15	6.20	198
harp	0.441753405815	310	8	3.05	103
dishwasher	0.442497780285	254	13	7.30	147
shrimp	0.443045667702	409	13	5.80	120
horse	0.443381187314	12660	19	6.30	201
nectarine	0.443702257899	36	17	6.20	182
lamb	0.444163864727	2238	16	4.50	144
rifle	0.445018482736	1068	18	3.70	191
turtle	0.44535114132	447	18	5.70	186
crocodile	0.445919950536	389	17	2.65	160
goat	0.446734200867	1201	20	4.05	216
octopus	0.447734199547	183	13	2.10	104
corn	0.448662865804	1224	13	7.85	137
seaweed	0.450450325913	234	10	4.30	116
cougar	0.453644526059	14	23	2.20	183
walrus	0.457779059167	65	14	2.15	121
banana	0.458110458009	991	15	8.10	164
wrench	0.458276534837	213	14	4.70	148
jeans	0.460020808146	1283	14	8.65	118
cheese	0.460285924139	2984	19	8.25	159
camel	0.460290907871	599	15	2.40	155
otter	0.461171182149	348	9	2.70	113
cabinet	0.461618861967	6902	10	8.35	114
alligator	0.461817292225	114	16	3.75	168
shelves	0.461915749105	2617	11	7.90	127
tuba	0.463441056024	65	13	3.30	137
tortoise	0.464421537969	285	14	2.40	152
tangerine	0.468454641811	78	16	7.10	187
tiger	0.469066868548	1324	24	3.80	232
socks	0.470668531971	1231	15	8.90	153
dress	0.470798492472	5907	13	7.85	123
chipmunk	0.474820128597	26	14	6.00	128
sheep	0.475033223857	3044	21	4.25	224
yam	0.47579045768	51	7	3.30	81
lemon	0.475951846608	1351	17	7.15	191
turnip	0.477169048512	174	9	4.75	99
cupboard	0.477175694088	1943	10	8.00	151
garlic	0.478388840531	802	21	7.85	205
coyote	0.479174082591	52	17	2.85	172
deer	0.481722622666	930	20	5.40	186
shirt	0.483635548739	3623	18	8.80	191
toad	0.485391341993	468	23	4.65	196
skirt	0.487135948882	2136	14	7.75	152
pants	0.488255663939	573	21	8.95	198
accordion	0.489153358884	2	9	2.90	99
peas	0.491353269779	629	12	6.95	156
coat	0.492079869657	4403	19	8.35	139
cello	0.49340090198	242	9	2.75	113
cow	0.493510081371	2611	22	5.40	230
potato	0.495999532242	2527	19	8.15	168
boots	0.497836572472	4731	21	8.10	180
beans	0.502894083739	1857	15	7.00	128
pig	0.502995650715	2508	22	5.15	211
giraffe	0.50338694624	106	14	4.05	185
dolphin	0.503902560964	1614	23	3.85	184
pineapple	0.504170505428	330	17	6.40	172
whale	0.504534201192	1339	12	3.50	146
gloves	0.507320276024	1405	14	8.40	141
donkey	0.508204024558	731	14	4.45	156
squirrel	0.508797876648	396	18	7.85	200
banjo	0.509431458811	49	12	3.15	137
harmonica	0.509508628783	49	6	3.65	80
pickle	0.510064038884	284	18	7.35	182
cranberry	0.51162061379	121	14	4.05	157
scarf	0.515789436509	749	12	7.50	121
crab	0.515923168366	565	16	4.20	159
lion	0.517963181246	2155	20	4.05	192
honeydew	0.518625865208	27	14	4.25	150
shawl	0.520699322145	325	10	3.30	97
swimsuit	0.522142929488	137	19	7.50	176
beaver	0.524400383982	220	15	4.05	199
lime	0.524907197611	706	13	5.35	135
moose	0.526567910673	98	15	3.35	181
slippers	0.530064010337	502	13	6.75	132
hyena	0.53245834404	73	14	1.75	110
sweater	0.534276666261	774	11	8.45	113
elephant	0.53624484531	1508	17	3.50	224
beets	0.53950611388	133	15	5.50	141
violin	0.540982968194	702	11	3.80	150
platypus	0.543108757312	30	8	1.95	78
bison	0.543261646927	52	10	2.75	100
vest	0.547487874375	389	10	7.00	97
chimp	0.547532007597	176	17	3.25	136
trombone	0.548598959934	142	13	3.35	133
grapefruit	0.550656620274	135	22	6.20	240
raccoon	0.551849414581	13	12	5.10	139
zucchini	0.552523706011	1	15	5.10	135
peach	0.554750560132	776	15	7.05	172
flute	0.556646554882	509	13	4.60	132
blueberry	0.564771909822	19	14	6.05	170
strawberry	0.565615124928	661	17	8.45	175
rhubarb	0.568181420107	119	11	3.95	128
grape	0.572785488908	814	18	7.10	235
jacket	0.574760138316	3575	15	8.60	134
trumpet	0.582041923763	531	13	4.20	128
raspberry	0.583198052437	280	11	6.15	114
asparagus	0.584466793243	116	9	5.85	110
parsley	0.584504724226	383	10	5.00	116
spinach	0.586014689722	199	11	5.00	138
eggplant	0.586103073963	6	9	3.75	103
coconut	0.586158342233	373	21	5.35	227
mushroom	0.587192963175	901	16	7.20	155
onions	0.590205172173	1236	16	7.40	164
trousers	0.59256027195	545	19	6.80	178
tomato	0.597478435472	1490	13	7.75	180
celery	0.597673138627	196	15	7.55	170
cucumber	0.599725460088	252	16	7.10	186
cabbage	0.601068135551	500	16	5.60	165
cauliflower	0.601530344948	130	14	6.80	144
lettuce	0.605990884684	448	18	7.95	216
broccoli	0.608711552936	134	12	7.55	147
blouse	0.62400337877	644	15	7.25	159
clarinet	0.62541370768	294	13	3.60	134
saxophone	0.648746732881	102	14	4.85	132
pear	0.671336832403	723	13	7.20	153
avocado	0.701347397393	130	10	3.70	92
