Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats
buggy	0.286651325556	231	12	4.00	118
spoon	0.286772426238	1013	19	8.65	194
bed	0.288004422826	18117	17	8.95	166
bazooka	0.288559129493	23	11	2.05	94
spade	0.288745238209	481	7	4.95	66
wall	0.288939084488	18207	14	8.90	103
cockroach	0.289112219397	147	14	3.60	90
ostrich	0.291749266488	168	19	2.55	254
pillow	0.291964372045	1133	13	8.80	188
pot	0.294778964483	3116	10	7.45	119
dove	0.294802343004	458	10	3.70	148
raft	0.295020845332	404	14	4.70	128
cushion	0.295857157597	1004	16	7.90	156
racquet	0.296852212205	77	13	5.75	146
dish	0.296906040577	3043	10	8.80	92
bolts	0.297128110467	1323	13	4.90	115
bullet	0.302253016371	1270	14	3.65	157
chair	0.302975798089	10023	16	8.70	182
bucket	0.303090882847	1404	7	6.55	93
sledgehammer	0.304121202798	67	11	3.80	134
mandarin	0.304761830064	329	15	3.70	134
crossbow	0.305891305231	113	8	3.35	98
nylons	0.309913227753	734	18	6.20	136
baton	0.311027202123	276	10	3.20	93
pan	0.31121136914	2211	12	6.70	120
tricycle	0.312062127024	57	17	6.20	206
jar	0.313334241729	1058	12	6.95	145
butterfly	0.314118939006	1151	15	6.15	165
budgie	0.31554673124	143	17	4.40	188
chisel	0.319852225696	233	10	3.85	102
rice	0.320558282415	1710	10	7.50	114
drill	0.321461591992	1373	11	6.00	134
belt	0.322089628114	2695	13	7.95	161
necklace	0.326773771484	404	17	8.00	165
tomahawk	0.327537213008	44	14	2.10	130
hook	0.328724254261	1912	9	6.65	112
garage	0.329898813391	2387	9	7.85	113
fridge	0.331896504002	1052	19	8.80	224
blender	0.331993871401	91	15	5.80	153
canoe	0.335162634809	531	18	6.10	174
willow	0.335846743615	524	10	3.50	86
harpoon	0.336690509553	47	11	2.10	93
skateboard	0.337146624027	80	10	4.85	115
house	0.337879346972	61006	16	8.45	133
sandals	0.338844826418	323	17	7.45	160
drain	0.343562725329	1620	9	7.70	107
gopher	0.345382447403	13	8	2.60	96
oak	0.345918313339	1950	11	6.10	126
cupboard	0.346282028969	1943	10	8.00	151
fawn	0.346915864614	145	26	3.80	216
van	0.347603828846	4655	15	8.00	145
ant	0.3497598518	1012	12	7.55	121
tray	0.353102034304	1826	12	6.75	112
chapel	0.355192208564	2443	11	5.25	98
rake	0.356542029985	353	15	5.80	148
emu	0.360708269843	293	12	3.10	102
skyscraper	0.361199227901	129	12	6.45	139
rattlesnake	0.361495434736	56	19	2.70	172
hatchet	0.362636661218	75	8	2.60	72
goldfish	0.363273293971	365	14	6.40	163
pumpkin	0.364199814719	176	12	6.95	181
hoe	0.364486242663	115	15	3.70	176
cedar	0.370717621299	236	15	5.50	116
finch	0.37088892465	354	10	3.25	121
bread	0.371435408539	3813	16	8.55	167
bowl	0.373779059954	3165	14	8.50	123
faucet	0.376480063661	11	18	8.10	193
skillet	0.378199120851	15	11	4.95	129
razor	0.378227759114	483	8	7.85	119
spider	0.379980230771	1036	16	7.25	178
subway	0.380441604191	167	14	5.90	140
chickadee	0.381725506783	4	15	3.80	159
drapes	0.386305642146	125	18	7.70	197
sailboat	0.388061200613	21	14	4.95	146
pliers	0.388314077962	72	12	4.90	109
crow	0.388624473731	533	13	5.00	131
vine	0.388832279641	913	8	5.00	89
pine	0.389932474286	1231	11	4.85	134
sink	0.391421461713	2190	17	8.50	202
biscuit	0.391523986827	1623	11	7.40	87
toaster	0.391966243188	97	14	7.80	194
church	0.393039217237	24058	15	6.10	131
curtains	0.393205926188	3412	13	8.40	152
fox	0.393231357424	2741	17	4.70	166
mixer	0.394301419765	284	9	5.90	96
parakeet	0.394363420082	40	16	2.95	189
eagle	0.395061594676	1793	17	3.60	191
cart	0.395935899789	1272	11	5.70	136
colander	0.39753151462	54	6	2.35	64
missile	0.399684435404	1902	17	2.60	133
taxi	0.399954408287	2195	10	7.35	125
screws	0.400287474758	1228	19	6.55	180
boat	0.400349433811	7391	10	6.55	113
carpet	0.401133731932	3396	17	8.75	143
crowbar	0.406364243412	61	12	4.00	113
mittens	0.40671525396	33	15	6.45	162
trolley	0.408025384387	730	8	3.70	59
cloak	0.408137343807	873	8	3.30	63
dagger	0.4085674184	433	14	3.00	150
yacht	0.409614213978	1426	14	3.85	144
donkey	0.409973586042	731	14	4.45	156
grasshopper	0.411204557163	104	13	4.95	159
gorilla	0.412117085402	209	16	2.65	170
flamingo	0.412720208635	138	11	2.70	116
nightingale	0.413003755142	245	6	1.80	82
lamb	0.413801216465	2238	16	4.50	144
swan	0.414552685466	1431	16	4.20	193
dishwasher	0.414854903297	254	13	7.30	147
strainer	0.414873998519	40	13	6.70	115
jet	0.416652171186	1830	15	4.50	176
chipmunk	0.418522750172	26	14	6.00	128
garlic	0.418988161851	802	21	7.85	205
microwave	0.419395745464	707	16	7.95	132
couch	0.420758761047	574	20	8.05	196
wrench	0.422523367877	213	14	4.70	148
tongs	0.422725821784	180	8	6.15	80
scissors	0.422891666188	442	10	7.55	119
ship	0.424143456766	7505	13	4.90	149
oriole	0.426346133684	16	9	2.40	95
walnut	0.429383251429	461	11	5.75	129
pelican	0.430741762405	145	15	2.85	189
sofa	0.432346560886	1168	18	8.40	181
honeydew	0.432595845025	27	14	4.25	150
wagon	0.434672080531	937	14	5.60	192
goose	0.434808332624	889	15	4.90	168
peacock	0.435405215122	578	16	3.85	164
partridge	0.436352375319	249	10	2.55	134
clamp	0.436502021594	378	10	4.10	100
pony	0.439170288612	1114	18	4.70	156
mouse	0.43933715132	2912	19	4.95	175
shovel	0.439910395238	280	15	6.45	162
duck	0.440612138633	2094	20	5.20	220
iguana	0.440629841732	44	17	3.15	174
basement	0.441218648617	872	16	7.60	155
building	0.441441960448	25691	15	8.35	118
stove	0.443353190116	782	13	8.35	162
minnow	0.445509994184	107	13	3.55	142
groundhog	0.445746253644	5	14	3.85	133
stork	0.446146726367	129	14	2.50	215
screwdriver	0.447686727732	272	20	6.35	203
cannon	0.448023357816	785	17	2.95	183
yam	0.448309689325	51	7	3.30	81
hamster	0.451649155163	159	14	6.10	167
horse	0.452457054717	12660	19	6.30	201
leotards	0.45280035084	83	12	6.05	103
elevator	0.452851500474	279	14	8.10	148
prune	0.453279636621	205	18	5.15	154
tractor	0.454006209233	730	13	6.00	146
moth	0.454617183607	540	8	5.65	94
bra	0.455309807273	493	20	7.45	198
scooter	0.455544873092	111	13	2.60	118
trailer	0.457742402344	653	12	6.15	100
spatula	0.4587407885	46	12	7.00	131
skunk	0.459041903866	57	12	5.50	179
rooster	0.461490194766	33	18	3.75	196
orange	0.46290172542	3081	16	8.20	190
jeep	0.463612711616	576	14	6.90	122
blackbird	0.464124351988	300	12	3.75	173
beetle	0.464858479637	556	13	4.20	113
oven	0.465988817458	1565	14	7.50	145
octopus	0.46618351845	183	13	2.10	104
cake	0.466209184349	3791	17	7.40	157
cantaloupe	0.466243147674	4	14	6.30	169
wasp	0.467480667097	617	16	5.20	161
cellar	0.467805429415	945	10	4.70	129
pigeon	0.469620590763	884	14	5.80	161
hawk	0.470830485228	572	13	3.50	173
snail	0.47135795595	543	9	5.40	118
camel	0.475299086327	599	15	2.40	155
machete	0.475379595732	63	8	2.00	65
bayonet	0.475465673058	161	7	1.75	41
penguin	0.475591666432	600	18	2.80	236
train	0.476692759658	10384	15	6.05	133
spear	0.479438946517	587	15	3.10	157
raven	0.480743022068	308	13	3.20	168
hornet	0.480830992595	96	12	5.30	129
starling	0.481154053763	183	12	2.75	116
buffalo	0.482838341368	366	15	3.50	154
eel	0.484204404408	355	11	2.55	125
goat	0.485354864121	1201	20	4.05	216
nightgown	0.485805276681	88	11	6.20	109
camisole	0.488561189027	31	18	4.20	140
gloves	0.48941656472	1405	14	8.40	141
perch	0.489638509752	302	15	4.00	161
platypus	0.489762291	30	8	1.95	78
tie	0.490457934531	4506	14	6.90	158
truck	0.491014720594	1867	13	7.65	146
falcon	0.491166806684	408	14	2.85	171
woodpecker	0.491892574418	146	15	4.10	169
olive	0.494440375383	1174	17	5.70	180
calf	0.495976635137	1083	14	4.35	147
nectarine	0.497712870873	36	17	6.20	182
pistol	0.497829968217	951	19	3.00	210
sardine	0.500200334023	198	11	3.15	147
mink	0.500554784458	273	15	2.35	140
zebra	0.501371484233	276	16	2.60	207
shoes	0.50238894095	4822	19	8.90	169
shotgun	0.503603422702	487	10	3.00	105
bike	0.50472558193	2267	20	7.70	198
cheese	0.504880779257	2984	19	8.25	159
gun	0.512464052084	5505	16	3.50	162
knife	0.513926555297	3364	17	8.00	177
ox	0.514209684118	336	11	2.30	123
raisin	0.516694011322	173	14	6.55	172
lemon	0.51752252408	1351	17	7.15	191
buzzard	0.519867217999	236	14	2.20	141
hammer	0.520138711786	1354	16	6.30	205
cranberry	0.520979426049	121	14	4.05	157
tangerine	0.523248547889	78	16	7.10	187
car	0.524315338449	35374	16	8.60	176
clam	0.524355244179	132	8	4.20	102
chimp	0.527120612296	176	17	3.25	136
tiger	0.527161931189	1324	24	3.80	232
pie	0.52821130422	1610	13	7.35	131
sword	0.528281199988	1887	16	2.95	144
salamander	0.528584178304	79	13	2.45	93
carrot	0.528710250057	872	18	7.60	203
dog	0.529637121237	12536	18	8.15	176
pheasant	0.530000896854	326	9	3.15	104
coat	0.530775472215	4403	19	8.35	139
vulture	0.530823902236	291	18	2.40	190
shrimp	0.530999457005	409	13	5.80	120
catfish	0.533088149085	232	10	3.35	120
frog	0.533205078955	960	16	5.45	172
owl	0.538499832827	1648	13	4.10	164
corn	0.539002240638	1224	13	7.85	137
panther	0.541407138888	184	13	2.60	135
harmonica	0.541631745959	49	6	3.65	80
mackerel	0.541824898121	151	9	3.85	89
swimsuit	0.541900893807	137	19	7.50	176
walrus	0.542471448531	65	14	2.15	121
pajamas	0.543913900454	3	11	8.50	126
drum	0.544092873799	1650	13	5.20	123
bull	0.544849810801	2173	12	3.60	133
rifle	0.545957777795	1068	18	3.70	191
cod	0.548009172628	385	9	3.60	82
revolver	0.55041073962	262	15	3.05	148
motorcycle	0.550497387392	367	16	4.90	170
cherry	0.552739466901	1096	12	6.90	184
porcupine	0.552769205594	72	10	3.20	105
apple	0.552783932707	3512	19	8.30	202
cheetah	0.552800519958	152	13	3.40	152
gown	0.553449456968	1031	12	6.15	103
cow	0.554384438709	2611	22	5.40	230
seaweed	0.558163283447	234	10	4.30	116
bagpipe	0.559070884567	122	9	3.20	122
turnip	0.560438195661	174	9	4.75	99
salmon	0.560537526398	1435	10	4.75	127
sparrow	0.561071506286	294	13	4.35	179
banjo	0.56168288773	49	12	3.15	137
blueberry	0.562900566929	19	14	6.05	170
giraffe	0.563202937731	106	14	4.05	185
alligator	0.563546576762	114	16	3.75	168
tortoise	0.564291968914	285	14	2.40	152
bear	0.564317293897	7158	19	4.55	195
toad	0.570270960901	468	23	4.65	196
radish	0.571334289848	213	16	4.95	182
crocodile	0.572444575693	389	17	2.65	160
hare	0.572807591856	674	18	3.25	184
jeans	0.573172787185	1283	14	8.65	118
scarf	0.574700562922	749	12	7.50	121
tuna	0.574892160513	357	14	5.65	136
peas	0.575351003511	629	12	6.95	156
shawl	0.575980424439	325	10	3.30	97
pineapple	0.576130562889	330	17	6.40	172
mushroom	0.577240956678	901	16	7.20	155
slippers	0.577319558142	502	13	6.75	132
boots	0.578788611475	4731	21	8.10	180
pig	0.579662757137	2508	22	5.15	211
hyena	0.581967296571	73	14	1.75	110
grapefruit	0.586861112624	135	22	6.20	240
bus	0.586879532935	6932	17	8.35	179
squid	0.589802298326	174	11	3.45	99
tuba	0.590052997686	65	13	3.30	137
parsley	0.591176320665	383	10	5.00	116
coconut	0.594164265737	373	21	5.35	227
vest	0.595090432475	389	10	7.00	97
leopard	0.595679651443	335	9	3.35	85
harp	0.595827790467	310	8	3.05	103
axe	0.596584255242	1226	16	4.60	214
lime	0.598005609833	706	13	5.35	135
potato	0.602447454641	2527	19	8.15	168
whale	0.60521260939	1339	12	3.50	146
socks	0.606376281695	1231	15	8.90	153
sheep	0.606417769235	3044	21	4.25	224
zucchini	0.607062063588	1	15	5.10	135
dolphin	0.608518822171	1614	23	3.85	184
pickle	0.608699193058	284	18	7.35	182
lobster	0.608798918991	334	17	5.85	169
plum	0.610913591655	425	15	6.20	198
otter	0.611855111436	348	9	2.70	113
guitar	0.612953880289	3423	11	6.15	130
cauliflower	0.613531649037	130	14	6.80	144
cat	0.618399285285	5540	20	7.65	191
rabbit	0.618640974832	2486	14	6.05	116
trout	0.618837111821	725	14	5.05	184
raspberry	0.620359270027	280	11	6.15	114
piano	0.621770623901	2112	13	5.95	155
lion	0.622586602549	2155	20	4.05	192
spinach	0.623491779891	199	11	5.00	138
skirt	0.625351831874	2136	14	7.75	152
squirrel	0.628331620919	396	18	7.85	200
beets	0.62903538232	133	15	5.50	141
cello	0.630664040032	242	9	2.75	113
beans	0.631043907999	1857	15	7.00	128
banana	0.631625850734	991	15	8.10	164
dress	0.633629602693	5907	13	7.85	123
robe	0.633746146311	758	16	7.40	131
crab	0.634026931606	565	16	4.20	159
raccoon	0.634570324636	13	12	5.10	139
celery	0.635505818591	196	15	7.55	170
turtle	0.639847612516	447	18	5.70	186
moose	0.640287177616	98	15	3.35	181
cougar	0.641577557331	14	23	2.20	183
cucumber	0.642882990379	252	16	7.10	186
asparagus	0.645154866429	116	9	5.85	110
caribou	0.646182894236	57	18	3.60	179
onions	0.653106379035	1236	16	7.40	164
rat	0.653817919085	2467	22	3.65	217
eggplant	0.657399323429	6	9	3.75	103
broccoli	0.657595857419	134	12	7.55	147
peach	0.66125613349	776	15	7.05	172
bison	0.66332652024	52	10	2.75	100
rhubarb	0.663924799395	119	11	3.95	128
flute	0.664236445099	509	13	4.60	132
elephant	0.66521183039	1508	17	3.50	224
beaver	0.665698849991	220	15	4.05	199
strawberry	0.667465841734	661	17	8.45	175
sweater	0.66898437249	774	11	8.45	113
cabbage	0.670073926595	500	16	5.60	165
grape	0.671152251345	814	18	7.10	235
coyote	0.67116339026	52	17	2.85	172
harpsichord	0.671359836973	155	6	2.40	70
shirt	0.671414748253	3623	18	8.80	191
pants	0.675796690866	573	21	8.95	198
tomato	0.685162524963	1490	13	7.75	180
elk	0.686394019263	40	16	2.65	131
pear	0.690030584278	723	13	7.20	153
jacket	0.690707192003	3575	15	8.60	134
blouse	0.69207330009	644	15	7.25	159
lettuce	0.69471856577	448	18	7.95	216
deer	0.698558158054	930	20	5.40	186
trumpet	0.713281194933	531	13	4.20	128
trousers	0.719464075418	545	19	6.80	178
violin	0.720548038384	702	11	3.80	150
avocado	0.726647204536	130	10	3.70	92
accordion	0.734232563335	2	9	2.90	99
clarinet	0.760172265656	294	13	3.60	134
trombone	0.766937552348	142	13	3.35	133
saxophone	0.779068798665	102	14	4.85	132
